ID,CA_ID,Code,Scientific_Name,CodeNum,Generic,Subsp,Western,California,Gymno
93,NA,Aln_Rub,Alnus_rubra,351,0,0,1,1,0
94,NA,Ame_Spp,Amelanchier_spp.,356,1,NA,NA,NA,0
95,NA,Arb_Men,Arbutus_menziesii,361,0,0,1,1,0
96,NA,Bet_All,Betula_alleghaniensis,371,0,0,0,0,0
97,NA,Bet_Len,Betula_lenta,372,0,0,0,0,0
98,NA,Bet_Nig,Betula_nigra,373,0,0,0,0,0
99,NA,Bet_Occ,Betula_occidentalis,NA,0,0,1,1,0
100,NA,Bet_Pap,Betula_papyrifera,375,0,0,0,0,0
101,NA,Bet_Pop,Betula_populifolia,379,0,0,0,0,0
102,NA,Bet_Spp,Betula_spp.,370,1,NA,NA,NA,0
103,NA,Car_Alb,Carya_alba,409,0,0,0,0,0
104,NA,Car_Aqu,Carya_aquatica,401,0,0,0,0,0
105,NA,Car_Car,Carpinus_caroliniana,391,0,0,0,0,0
106,NA,Car_Cor,Carya_cordiformis,402,0,0,0,0,0
107,NA,Car_Gla,Carya_glabra,403,0,0,0,0,0
108,NA,Car_Ill,Carya_illinoensis,404,0,0,0,0,0
109,NA,Car_Lac,Carya_laciniosa,405,0,0,0,0,0
110,NA,Car_Ova,Carya_ovata,407,0,0,0,0,0
111,NA,Car_Spp,Carya_spp.,400,1,NA,NA,NA,0
112,NA,Car_Tex,Carya_texana,408,0,0,0,0,0
113,NA,Car_Tom,Carya_tomentosa,NA,0,0,0,0,0
114,NA,Cas_Den,Castanea_dentata,421,0,0,0,0,0
115,NA,Cat_Spp,Catalpa_spp.,450,1,NA,NA,NA,0
116,NA,Cel_Lae,Celtis_laevigata,461,0,0,1,1,0
117,NA,Cel_Occ,Celtis_occidentalis,462,0,0,1,0,0
118,NA,Cel_Spp,Celtis_spp.,460,1,NA,NA,NA,0
119,NA,Cer_Bet,Cercocarpus_betuloides,NA,0,0,1,1,0
120,NA,Cer_Can,Cercis_canadensis,471,0,0,0,0,0
121,NA,Cer_Led,Cercocarpus_ledifolius,NA,0,0,1,1,0
122,NA,Chr_Chr,Chrysolepis_chrysophylla,NA,0,0,1,1,0
123,NA,Cor_Flo,Cornus_florida,491,0,0,0,0,0
124,NA,Cor_Nut,Cornus_nuttallii,NA,0,0,1,1,0
125,NA,Cra_Spp,Crataegus_spp.,500,1,NA,NA,NA,0
126,NA,Fag_Gra,Fagus_grandifolia,531,0,0,0,0,0
127,NA,Fra_Ame,Fraxinus_americana,541,0,0,0,0,0
128,NA,Fra_Lat,Fraxinus_latifolia,542,0,0,1,1,0
129,NA,Fra_Nig,Fraxinus_nigra,543,0,0,0,0,0
130,NA,Fra_Pen,Fraxinus_pennsylvanica,544,0,0,1,0,0
131,NA,Fra_Pro,Fraxinus_profunda,545,0,0,0,0,0
132,NA,Fra_Qua,Fraxinus_quadrangulata,546,0,0,0,0,0
133,NA,Fra_Spp,Fraxinus_spp.,540,1,NA,NA,NA,0
134,NA,Gle_Tri,Gleditsia_triacanthos,552,0,0,1,1,0
135,NA,Gor_Las,Gordonia_lasianthus,555,0,0,0,0,0
136,NA,Gym_Dio,Gymnocladus_dioicus,571,0,0,0,0,0
137,NA,Hal_Spp,Halesia_spp.,580,1,NA,NA,NA,0
138,NA,Ile_Opa,Ilex_opaca,591,0,0,0,0,0
139,NA,Jug_Cin,Juglans_cinerea,601,0,0,0,0,0
140,NA,Jug_Nig,Juglans_nigra,602,0,0,1,0,0
141,NA,Jug_Spp,Juglans_spp.,600,1,NA,NA,NA,0
142,NA,Liq_Sty,Liquidambar_styraciflua,611,0,0,0,0,0
143,NA,Lir_Tul,Liriodendron_tulipifera,621,0,0,0,0,0
144,NA,Lit_Den,Lithocarpus_densiflorus,631,0,0,1,1,0
145,NA,Mac_Pom,Maclura_pomifera,641,0,0,0,0,0
146,NA,Mag_Acu,Magnolia_acuminata,651,0,0,0,0,0
147,NA,Mag_Gra,Magnolia_grandiflora,652,0,0,0,0,0
148,NA,Mag_Mac,Magnolia_macrophylla,654,0,0,0,0,0
149,NA,Mag_Spp,Magnolia_spp.,650,1,NA,NA,NA,0
150,NA,Mag_Vir,Magnolia_virginiana,653,0,0,0,0,0
151,NA,Mal_Spp,Malus_spp.,660,1,NA,NA,NA,0
152,NA,Mor_Spp,Morus_spp.,680,1,NA,NA,NA,0
153,NA,Nys_Aqu,Nyssa_aquatica,691,0,0,0,0,0
154,NA,Nys_Bif,Nyssa_biflora,694,0,0,0,0,0
155,NA,Nys_Spp,Nyssa_spp.,690,1,NA,NA,NA,0
156,NA,Nys_Syl,Nyssa_sylvatica,693,0,0,0,0,0
157,NA,Ost_Vir,Ostrya_virginiana,701,0,0,0,0,0
158,NA,Oxy_Arb,Oxydendrum_arboreum,711,0,0,0,0,0
159,NA,Pau_Tom,Paulownia_tomentosa,712,0,0,NA,NA,0
160,NA,Per_Bor,Persea_borbonia,721,0,0,0,0,0
161,NA,Pla_Occ,Platanus_occidentalis,731,0,0,0,0,0
162,NA,Pla_Rac,Platanus_racemosa,NA,0,0,1,1,0
163,NA,Pop_Bal,Populus_balsamifera,741,0,0,1,1,0
164,NA,Pop_Del,Populus_deltoides,742,0,0,1,0,0
165,NA,Pop_Fre,Populus_fremontii,NA,0,0,1,1,0
166,NA,Pop_Gra,Populus_grandidentata,743,0,0,0,0,0
167,NA,Pop_Het,Populus_heterophylla,744,0,0,0,0,0
168,NA,Pop_Spp,Populus_spp.,740,1,NA,NA,NA,0
169,NA,Pop_Tre,Populus_tremuloides,746,0,0,1,1,0
170,NA,Pop_Tri,Populus_trichocarpa,NA,0,0,1,1,0
171,NA,Pru_Ema,Prunus_emarginata,NA,0,0,1,1,0
172,NA,Pru_Pen,Prunus_pensylvanica,761,0,0,1,0,0
173,NA,Pru_Ser,Prunus_serotina,762,0,0,0,0,0
174,NA,Pru_Spp,Prunus_spp.,760,1,NA,NA,NA,0
175,NA,Pru_Vir,Prunus_virginiana,763,0,0,1,1,0
176,NA,Que_Agr,Quercus_agrifolia,NA,0,0,1,1,0
177,NA,Que_Alb,Quercus_alba,802,0,0,0,0,0
178,NA,Que_Bic,Quercus_bicolor,804,0,0,0,0,0
179,NA,Que_Chr,Quercus_chrysolepsis,805,0,0,1,1,0
180,NA,Que_Coc,Quercus_coccinea,806,0,0,0,0,0
181,NA,Que_Dou,Quercus_douglasii,NA,0,0,1,1,0
182,NA,Que_Ell,Quercus_ellipsoidalis,809,0,0,0,0,0
183,NA,Que_Eng,Quercus_engelmanni,NA,0,0,1,1,0
184,NA,Que_Fal,Quercus_falcata,812,0,0,0,0,0
185,NA,Que_Gar,Quercus_garryana,NA,0,0,1,1,0
186,NA,Que_Imb,Quercus_imbricaria,817,0,0,0,0,0
187,NA,Que_Kel,Quercus_kelloggii,818,0,0,1,1,0
188,NA,Que_Lae,Quercus_laevis,819,0,0,0,0,0
189,NA,Que_Lau,Quercus_laurifolia,820,0,0,0,0,0
190,NA,Que_Lob,Quercus_lobata,NA,0,0,1,1,0
191,NA,Que_Lyr,Quercus_lyrata,822,0,0,0,0,0
192,NA,Que_Mac,Quercus_macrocarpa,823,0,0,0,0,0
193,NA,Que_Mar,Quercus_marilandica,840,0,0,0,0,0
194,NA,Que_Mar,Quercus_marilandica,824,0,0,0,0,0
195,NA,Que_Mic,Quercus_michauxii,825,0,0,0,0,0
196,NA,Que_Mue,Quercus_muehlenbergii,826,0,0,0,0,0
197,NA,Que_Nig,Quercus_nigra,827,0,0,0,0,0
198,NA,Que_Nut,Quercus_nutallii,NA,0,0,0,0,0
199,NA,Que_Pag,Quercus_pagoda,813,0,0,0,0,0
200,NA,Que_Pal,Quercus_palustris,830,0,0,0,0,0
201,NA,Que_Phe,Quercus_phellos,831,0,0,0,0,0
202,NA,Que_Rub,Quercus_rubra,833,0,0,0,0,0
203,NA,Que_Shu,Quercus_shumardii,834,0,0,0,0,0
204,NA,Que_Spp,Quercus_spp.,800,1,NA,NA,NA,0
205,NA,Que_Ste,Quercus_stellata,835,0,0,0,0,0
206,NA,Que_Vel,Quercus_velutina,837,0,0,0,0,0
207,NA,Que_Vir,Quercus_virginiana,838,0,0,0,0,0
208,NA,Que_Wis,Quercus_wislizenii,NA,0,0,1,1,0
209,NA,Rob_Pse,Robinia_pseudoacacia,901,0,0,1,1,0
210,NA,Sal_Eri,Salix_eriocephala,NA,0,0,0,0,0
211,NA,Sal_Nig,Salix_nigra,922,0,0,0,0,0
212,NA,Sal_Spp,Salix_spp.,920,1,NA,NA,NA,0
213,NA,Sas_Alb,Sassafras_albidum,931,0,0,0,0,0
214,NA,Sor_Ame,Sorbus_americana,935,0,0,0,0,0
215,NA,Til_Ame,Tilia_americana,951,0,0,0,0,0
216,NA,Til_Het,Tilia_heterophylla,NA,0,0,0,0,0
217,NA,Til_Spp,Tilia_spp.,950,1,NA,NA,NA,0
218,NA,Ulm_Ala,Ulmus_alata,971,0,0,0,0,0
219,NA,Ulm_Ame,Ulmus_americana,972,0,0,0,0,0
220,NA,Ulm_Pum,Ulmus_pumilia,974,0,0,NA,NA,0
221,NA,Ulm_Rub,Ulmus_rubra,975,0,0,0,0,0
222,NA,Ulm_Spp,Ulmus_spp.,970,1,NA,NA,NA,0
223,NA,Ulm_Tho,Ulmus_thomasii,977,0,0,0,0,0
224,NA,Umb_Cal,Umbellularia_californica,981,0,0,1,1,0
225,NA,Abi_Fra,Abies_fraseri,16,NA,NA,NA,NA,NA
226,NA,Abi_Sha,Abies_shastensis,21,NA,NA,NA,NA,NA
227,NA,Aca_Far,Acacia_farnesiana,303,NA,NA,NA,NA,NA
228,NA,Ace_Leu,Acer_leucoderme,323,NA,NA,NA,NA,NA
229,NA,Ace_Pla,Acer_platanoides,320,NA,NA,NA,NA,NA
230,NA,Ace_Spi,Acer_spicatum,319,NA,NA,NA,NA,NA
231,NA,Aes_Fla,Aesculus_flava,332,NA,NA,NA,NA,NA
232,NA,Aes_Syl,Aesculus_sylvatica,337,NA,NA,NA,NA,NA
233,NA,Alb_Jul,Albizia_julibrissin,345,NA,NA,NA,NA,NA
234,NA,Aln_Glu,Alnus_glutinosa,355,NA,NA,NA,NA,NA
235,NA,Aln_Spp,Alnus_spp.,350,NA,NA,NA,NA,NA
236,NA,Ame_Arb,Amelanchier_arborea,357,NA,NA,NA,NA,NA
237,NA,Ame_San,Amelanchier_sanguinea,358,NA,NA,NA,NA,NA
238,NA,Ann_Gla,Annona_glabra,853,NA,NA,NA,NA,NA
239,NA,Arb_Xal,Arbutus_xalapensis,363,NA,NA,NA,NA,NA
240,NA,Asi_Tri,Asimina_triloba,367,NA,NA,NA,NA,NA
241,NA,Avi_Ger,Avicennia_germinans,986,NA,NA,NA,NA,NA
242,NA,Bur_Sim,Bursera_simaruba,854,NA,NA,NA,NA,NA
243,NA,Car_Myr,Carya_myristiciformis,406,NA,NA,NA,NA,NA
244,NA,Car_Pal,Carya_pallida,410,NA,NA,NA,NA,NA
245,NA,Cas_Lep,Casuarina_lepidophloia,857,NA,NA,NA,NA,NA
246,NA,Cas_Mol,Castanea_mollissima,424,NA,NA,NA,NA,NA
247,NA,Cas_Pum,Castanea_pumila,422,NA,NA,NA,NA,NA
248,NA,Cas_Spp,Castanea_spp.,420,NA,NA,NA,NA,NA
249,NA,Cat_Big,Catalpa_bignonioides,451,NA,NA,NA,NA,NA
250,NA,Cat_Spe,Catalpa_speciosa,452,NA,NA,NA,NA,NA
251,NA,Cha_Thy,Chamaecyparis_thyoides,43,NA,NA,NA,NA,NA
252,NA,Cin_Cam,Cinnamomum_camphora,858,NA,NA,NA,NA,NA
253,NA,Cit_Spp,Citrus_spp.,860,NA,NA,NA,NA,NA
254,NA,Cla_Ken,Cladrastis_kentukea,481,NA,NA,NA,NA,NA
255,NA,Con_Ere,Conocarpus_erectus,987,NA,NA,NA,NA,NA
256,NA,Con_Hoo,Condalia_hookeri,867,NA,NA,NA,NA,NA
257,NA,Cot_Obo,Cotinus_obovatus,996,NA,NA,NA,NA,NA
258,NA,Cra_Cru,Crataegus_crus-galli,501,NA,NA,NA,NA,NA
259,NA,Cra_Mol,Crataegus_mollis,502,NA,NA,NA,NA,NA
260,NA,Dio_Spp,Diospyros_spp.,520,NA,NA,NA,NA,NA
261,NA,Dio_Tex,Diospyros_texana,522,NA,NA,NA,NA,NA
262,NA,Dio_Vir,Diospyros_virginiana,521,NA,NA,NA,NA,NA
263,NA,Ehr_Ana,Ehretia_anacua,523,NA,NA,NA,NA,NA
264,NA,Ela_Ang,Elaeagnus_angustifolia,997,NA,NA,NA,NA,NA
265,NA,Euc_Gra,Eucalyptus_grandis,513,NA,NA,NA,NA,NA
266,NA,Euc_Spp,Eucalyptus_spp.,510,NA,NA,NA,NA,NA
267,NA,Eug_Rho,Eugenia_rhombea,873,NA,NA,NA,NA,NA
268,NA,Fic_Aur,Ficus_aurea,876,NA,NA,NA,NA,NA
269,NA,Fra_Car,Fraxinus_caroliniana,548,NA,NA,NA,NA,NA
270,NA,Fra_Tex,Fraxinus_texensis,549,NA,NA,NA,NA,NA
271,NA,Gin_Bil,Ginkgo_biloba,561,NA,NA,NA,NA,NA
272,NA,Gle_Aqu,Gleditsia_aquatica,551,NA,NA,NA,NA,NA
273,NA,Gle_Spp,Gleditsia_spp.,550,NA,NA,NA,NA,NA
274,NA,Hal_Car,Halesia_carolina,581,NA,NA,NA,NA,NA
275,NA,Hal_Dip,Halesia_diptera,582,NA,NA,NA,NA,NA
276,NA,Jug_Maj,Juglans_major,606,NA,NA,NA,NA,NA
277,NA,Jug_Mic,Juglans_microcarpa,605,NA,NA,NA,NA,NA
278,NA,Jun_Ash,Juniperus_ashei,61,NA,NA,NA,NA,NA
279,NA,Jun_Coa,Juniperus_coahuilensis,59,NA,NA,NA,NA,NA
280,NA,Jun_Dep,Juniperus_deppeana,63,NA,NA,NA,NA,NA
281,NA,Jun_Fla,Juniperus_flaccida,60,NA,NA,NA,NA,NA
282,NA,Jun_Mon,Juniperus_monosperma,69,NA,NA,NA,NA,NA
283,NA,Jun_Ost,Juniperus_osteosperma,65,NA,NA,NA,NA,NA
284,NA,Jun_Pin,Juniperus_pinchotii,58,NA,NA,NA,NA,NA
285,NA,Lag_Rac,Laguncularia_racemosa,988,NA,NA,NA,NA,NA
286,NA,Lar_Spp,Larix_spp.,70,NA,NA,NA,NA,NA
287,NA,Mag_Fra,Magnolia_fraseri,655,NA,NA,NA,NA,NA
288,NA,Mag_Tri,Magnolia_tripetala,658,NA,NA,NA,NA,NA
289,NA,Mal_Ang,Malus_angustifolia,662,NA,NA,NA,NA,NA
290,NA,Mal_Cor,Malus_coronaria,663,NA,NA,NA,NA,NA
291,NA,Mal_Fus,Malus_fusca,661,NA,NA,NA,NA,NA
292,NA,Mal_Ioe,Malus_ioensis,664,NA,NA,NA,NA,NA
293,NA,Mel_Aze,Melia_azedarach,993,NA,NA,NA,NA,NA
294,NA,Mel_Qui,Melaleuca_quinquenervia,992,NA,NA,NA,NA,NA
295,NA,Met_Tox,Metopium_toxiferum,886,NA,NA,NA,NA,NA
296,NA,Mor_Alb,Morus_alba,681,NA,NA,NA,NA,NA
297,NA,Mor_Mic,Morus_microphylla,683,NA,NA,NA,NA,NA
298,NA,Mor_Rub,Morus_rubra,682,NA,NA,NA,NA,NA
299,NA,Nys_Oge,Nyssa_ogeche,692,NA,NA,NA,NA,NA
300,NA,Per_Spp,Persea_spp.,720,NA,NA,NA,NA,NA
301,NA,Pic_Pun,Picea_pungens,96,NA,NA,NA,NA,NA
302,NA,Pin_Cem,Pinus_cembroides,140,NA,NA,NA,NA,NA
303,NA,Pin_Mon1,Pinus_monophylla,133,NA,NA,NA,NA,NA
304,NA,Pin_Nig,Pinus_nigra,136,NA,NA,NA,NA,NA
305,NA,Pin_Rem,Pinus_remota,141,NA,NA,NA,NA,NA
306,NA,Pis_Pis,Piscidia_piscipula,887,NA,NA,NA,NA,NA
307,NA,Pla_Aqu,Planera_aquatica,722,NA,NA,NA,NA,NA
308,NA,Pla_Spp,Platanus_spp.,729,NA,NA,NA,NA,NA
309,NA,Pop_Alb,Populus_alba,752,NA,NA,NA,NA,NA
310,NA,Pop_Nig,Populus_nigra,753,NA,NA,NA,NA,NA
311,NA,Pro_Gla,Prosopis_glandulosa,756,NA,NA,NA,NA,NA
312,NA,Pro_Pub,Prosopis_pubescens,758,NA,NA,NA,NA,NA
313,NA,Pro_Spp,Prosopis_spp.,755,NA,NA,NA,NA,NA
314,NA,Pru_Ame,Prunus_americana,766,NA,NA,NA,NA,NA
315,NA,Pru_Avi,Prunus_avium,771,NA,NA,NA,NA,NA
316,NA,Pru_Nig,Prunus_nigra,765,NA,NA,NA,NA,NA
317,NA,Pru_Per,Prunus_persica,764,NA,NA,NA,NA,NA
318,NA,Que_Emo,Quercus_emoryi,810,NA,NA,NA,NA,NA
319,NA,Que_Gam,Quercus_gambelii,814,NA,NA,NA,NA,NA
320,NA,Que_Gri,Quercus_grisea,846,NA,NA,NA,NA,NA
321,NA,Que_Hyp,Quercus_hypoleucoides,843,NA,NA,NA,NA,NA
322,NA,Que_Ili,Quercus_ilicifolia,816,NA,NA,NA,NA,NA
323,NA,Que_Inc,Quercus_incana,842,NA,NA,NA,NA,NA
324,NA,Que_Min,Quercus_minima,841,NA,NA,NA,NA,NA
325,NA,Que_Ogl,Quercus_oglethorpensis,844,NA,NA,NA,NA,NA
326,NA,Que_Pri,Quercus_prinus,832,NA,NA,NA,NA,NA
327,NA,Que_Sim,Quercus_similis,836,NA,NA,NA,NA,NA
328,NA,Que_Sin,Quercus_sinuata,808,NA,NA,NA,NA,NA
329,NA,Que_Tex,Quercus_texana,828,NA,NA,NA,NA,NA
330,NA,Rhi_Man,Rhizophora_mangle,989,NA,NA,NA,NA,NA
331,NA,Roy_Spp,Roystonea_spp.,909,NA,NA,NA,NA,NA
332,NA,Sab_Pal,Sabal_palmetto,912,NA,NA,NA,NA,NA
333,NA,Sal_Alb,Salix_alba,927,NA,NA,NA,NA,NA
334,NA,Sal_Amy,Salix_amygdaloides,921,NA,NA,NA,NA,NA
335,NA,Sal_Beb,Salix_bebbiana,923,NA,NA,NA,NA,NA
336,NA,Sal_Car,Salix_caroliniana,925,NA,NA,NA,NA,NA
337,NA,Sal_Sep,Salix_sepulcralis,929,NA,NA,NA,NA,NA
338,NA,Sap_Sap,Sapindus_saponaria,919,NA,NA,NA,NA,NA
339,NA,Sid_Lan,Sideroxylon_lanuginosum,381,NA,NA,NA,NA,NA
340,NA,Sor_Auc,Sorbus_aucuparia,936,NA,NA,NA,NA,NA
341,NA,Syz_Cum,Syzygium_cumini,896,NA,NA,NA,NA,NA
342,NA,Tam_Spp,Tamarix_spp.,991,NA,NA,NA,NA,NA
343,NA,Tax_Asc,Taxodium_ascendens,222,NA,NA,NA,NA,NA
344,NA,Thr_Mor,Thrinax_morrisii,913,NA,NA,NA,NA,NA
345,NA,Tre_Bro,Tree_broadleaf,998,NA,NA,NA,NA,NA
346,NA,Tre_Eve,Tree_evergreen,299,NA,NA,NA,NA,NA
347,NA,Tre_Unk,Tree_unknown,999,NA,NA,NA,NA,NA
348,NA,Tri_Seb,Triadica_sebifera,994,NA,NA,NA,NA,NA
349,NA,Tsu_Car,Tsuga_caroliniana,262,NA,NA,NA,NA,NA
350,NA,Ulm_Cra,Ulmus_crassifolia,973,NA,NA,NA,NA,NA
351,NA,Ulm_Ser,Ulmus_serotina,976,NA,NA,NA,NA,NA
352,NA,Ver_For,Vernicia_fordii,995,NA,NA,NA,NA,NA
